-- Sample products data
ProductID,ProductName,Category,UnitPrice,StockQuantity,SupplierID,Description
101,Laptop Pro,Electronics,1299.99,50,1,High-performance laptop for professionals
102,Wireless Mouse,Electronics,29.99,200,2,Ergonomic wireless mouse with precision tracking
103,Office Chair,Furniture,249.99,75,3,Comfortable ergonomic office chair
104,Keyboard,Electronics,79.99,150,2,Mechanical keyboard with backlight
105,Desk Lamp,Furniture,45.00,100,4,Adjustable LED desk lamp
106,Monitor,Electronics,329.99,60,1,27-inch 4K monitor
107,Webcam,Electronics,89.99,120,5,HD webcam for video conferencing
108,Headphones,Electronics,149.99,80,6,Noise-cancelling wireless headphones
109,Standing Desk,Furniture,599.99,25,3,Height-adjustable standing desk
110,Tablet,Electronics,399.99,40,7,10-inch tablet with stylus
111,Printer,Electronics,199.99,35,8,Wireless all-in-one printer
112,Cable Set,Electronics,15.99,300,9,USB-C cable set with adapters
113,Book Stand,Furniture,35.00,150,4,Adjustable wooden book stand
