-- Sample sales data
-- This file contains sample sales transactions for analytics

OrderID,CustomerID,ProductID,ProductName,Category,Quantity,UnitPrice,TotalAmount,OrderDate,SalespersonID
1001,1,101,Laptop Pro,Electronics,1,1299.99,1299.99,2024-01-15,201
1002,2,102,Wireless Mouse,Electronics,2,29.99,59.98,2024-01-16,202
1003,3,103,Office Chair,Furniture,1,249.99,249.99,2024-01-18,203
1004,1,104,Keyboard,Electronics,1,79.99,79.99,2024-01-20,201
1005,4,105,Desk Lamp,Furniture,2,45.00,90.00,2024-01-22,204
1006,5,101,Laptop Pro,Electronics,1,1299.99,1299.99,2024-01-25,202
1007,6,106,Monitor,Electronics,1,329.99,329.99,2024-01-28,205
1008,2,107,Webcam,Electronics,1,89.99,89.99,2024-02-01,201
1009,7,108,Headphones,Electronics,1,149.99,149.99,2024-02-03,203
1010,3,109,Standing Desk,Furniture,1,599.99,599.99,2024-02-05,204
1011,8,110,Tablet,Electronics,1,399.99,399.99,2024-02-08,202
1012,9,103,Office Chair,Furniture,2,249.99,499.98,2024-02-10,205
1013,10,111,Printer,Electronics,1,199.99,199.99,2024-02-12,201
1014,1,112,Cable Set,Electronics,3,15.99,47.97,2024-02-15,203
1015,4,113,Book Stand,Furniture,1,35.00,35.00,2024-02-18,204
